,engagement_probability,threeXthree,twoXtwo
1835182,0.0949196070432663,0,0
2136065,0.34287625551223755,0,0
837859,0.5339548587799072,1,1
1733078,0.4965873956680298,0,1
474109,0.09957359731197357,0,0
734750,0.03687063604593277,0,0
3027227,0.08435522764921188,0,0
3085744,0.04267041012644768,0,0
819300,0.488381952047348,1,1
2625716,0.033065877854824066,0,0
3034834,0.1147189810872078,1,1
2510798,0.08442763239145279,0,0
3139969,0.02565678209066391,0,0
409769,0.04336174577474594,0,0
1714227,0.15750139951705933,0,0
47066,0.15469808876514435,0,0
531840,0.02570691704750061,0,0
2068490,0.10495983064174652,0,0
2989664,0.07909619063138962,0,0
3323763,0.6075014472007751,1,1
732308,0.12957465648651123,0,0
2799125,0.03982311859726906,0,0
2196638,0.40466630458831787,0,0
1910119,0.11264553666114807,0,0
1302049,0.10989077389240265,0,0
708657,0.4369739592075348,1,1
2721288,0.5315061807632446,0,0
3420370,0.08815677464008331,0,0
880496,0.4475143253803253,0,0
2818860,0.04784185066819191,0,0
2110967,0.10854482650756836,0,0
2298922,0.3764912188053131,1,1
1183327,0.09350446611642838,0,0
2927590,0.09216143935918808,0,0
949713,0.4226583242416382,0,0
1667573,0.10473359376192093,0,0
877435,0.5174496173858643,1,1
2501201,0.1505681425333023,0,0
15793,0.21931031346321106,0,0
2587702,0.1334189474582672,0,0
3490784,0.5707713961601257,1,1
1863608,0.4078546166419983,0,0
1399963,0.12609665095806122,0,0
1414417,0.029922910034656525,0,0
192924,0.036009207367897034,0,0
3096987,0.06759834289550781,0,0
1793621,0.0933336615562439,0,1
3410118,0.44796550273895264,0,0
2576205,0.532057523727417,0,0
2995765,0.47647377848625183,0,0
3275124,0.0852980837225914,0,0
2158725,0.10661915689706802,0,0
2418412,0.08039313554763794,0,0
1897478,0.44305384159088135,0,0
2914433,0.03677443042397499,0,0
2888419,0.47531551122665405,1,1
2631898,0.4300856590270996,1,1
520088,0.03639569133520126,0,0
2906045,0.38666635751724243,1,1
716537,0.07465057820081711,0,0
1302865,0.09389404207468033,0,0
2723124,0.5430129766464233,1,1
1946155,0.13423950970172882,0,1
2051513,0.3162253201007843,0,0
3463221,0.10492534190416336,0,0
2296009,0.033210091292858124,0,0
3456314,0.0936780646443367,0,0
70734,0.4419640004634857,0,0
1338890,0.10717882961034775,0,0
2980895,0.18434907495975494,0,0
1062407,0.05514324828982353,0,0
1286977,0.0822455957531929,0,0
